zona,bairro
Central,São Cristóvão
Central,Benfica
Central,Caju
Central,Catumbi
Central,Centro
Central,Cidade Nova
Central,Estácio
Central,Gamboa
Central,Lapa
Central,Mangueira
Central,Paquetá
Central,Rio Comprido
Central,Santa Teresa
Central,Santo Cristo
Central,Saúde
Central,Vasco da Gama
Sul,Botafogo
Sul,Catete
Sul,Copacabana
Sul,Cosme Velho
Sul,Flamengo
Sul,Gávea
Sul,Glória
Sul,Humaitá
Sul,Ipanema
Sul,Jardim Botânico
Sul,Lagoa
Sul,Laranjeiras
Sul,Leblon
Sul,Leme
Sul,São Conrado
Sul,Urca
Sul,Vidigal
Oeste,Anil
Oeste,Barra da Tijuca
Oeste,Camorim
Oeste,Cidade de Deus
Oeste,Curicica
Oeste,Freguesia de Jacarepaguá
Oeste,Gardênia Azul
Oeste,Grumari
Oeste,Itanhangá
Oeste,Jacarepaguá
Oeste,Joá
Oeste,Praça Seca
Oeste,Pechincha
Oeste,Rio das Pedras
Oeste,Recreio dos Bandeirantes
Oeste,Tanque
Oeste,Taquara
Oeste,Vargem Grande
Oeste,Vargem Pequena
Oeste,Vila Valqueire
Oeste,Jardim Sulacap
Oeste,Bangu
Oeste,Campo dos Afonsos
Oeste,Deodoro
Oeste,Gericinó
Oeste,Jabour
Oeste,Magalhães Bastos
Oeste,Padre Miguel
Oeste,Realengo
Oeste,Santíssimo
Oeste,Senador Camará
Oeste,Vila Kennedy
Oeste,Vila Militar
Oeste,Barra de Guaratiba
Oeste,Campo Grande
Oeste,Cosmos
Oeste,Guaratiba
Oeste,Inhoaíba
Oeste,Paciência
Oeste,Pedra de Guaratiba
Oeste,Santa Cruz
Oeste,Senador Vasconcelos
Oeste,Sepetiba
Norte,Alto da Boa Vista
Norte,Andaraí
Norte,Grajaú
Norte,Maracanã
Norte,Praça da Bandeira
Norte,Tijuca
Norte,Vila Isabel
Norte,Abolição
Norte,Água Santa
Norte,Cachambi
Norte,Del Castilho
Norte,Encantado
Norte,Engenho de Dentro
Norte,Engenho Novo
Norte,Higienópolis
Norte,Jacaré
Norte,Jacarezinho
Norte,Lins de Vasconcelos
Norte,Manguinhos
Norte,Maria da Graça
Norte,Méier
Norte,Piedade
Norte,Pilares
Norte,Riachuelo
Norte,Rocha
Norte,Sampaio
Norte,São Francisco Xavier
Norte,Todos os Santos
Norte,Ilha do Governador 
Norte,Bonsucesso
Norte,Bancários
Norte,Cacuia
Norte,Cidade Universitária
Norte,Cocotá
Norte,Freguesia (Jacarepaguá)
Norte,Galeão
Norte,Jardim Carioca
Norte,Jardim Guanabara
Norte,Maré
Norte,Moneró
Norte,Olaria
Norte,Pitangueiras
Norte,Portuguesa
Norte,Praia da Bandeira
Norte,Ramos
Norte,Ribeira
Norte,Tauá
Norte,Zumbi 	
Norte,Acari
Norte,Anchieta
Norte,Barros Filho
Norte,Bento Ribeiro
Norte,Brás de Pina
Norte,Campinho
Norte,Cavalcanti
Norte,Cascadura
Norte,Coelho Neto
Norte,Colégio
Norte,Complexo do Alemão
Norte,Cordovil
Norte,Costa Barros
Norte,Engenheiro Leal
Norte,Engenho da Rainha
Norte,Guadalupe
Norte,Honório Gurgel
Norte,Inhaúma
Norte,Irajá
Norte,Jardim América
Norte,Madureira
Norte,Marechal Hermes
Norte,Oswaldo Cruz
Norte,Parada de Lucas
Norte,Parque Anchieta
Norte,Parque Colúmbia
Norte,Pavuna
Norte,Penha
Norte,Penha Circular
Norte,Quintino Bocaiuva
Norte,Ricardo de Albuquerque
Norte,Rocha Miranda
Norte,Tomás Coelho
Norte,Turiaçu
Norte,Vaz Lobo
Norte,Vicente de Carvalho
Norte,Vigário Geral
Norte,Vila da Penha
Norte,Vila Kosmos
Norte,Vista Alegre
